productId,price,productName
487486714392,5208,ZjpqNcgXuuUropk
340155464998,5927,xWmzg
43362916939,366,FrdYrAzFrcCpNny
311620668119,6916,aClgYfTbp
24396075430,1711,bapJrjdAaNw
93513389496,3659,AzwQpVhDghCtr
945495359607,2253,sDfbqDuDvMaSspZaHjw
22045063293,5998,AcCoTbqhxIyAf
541049989385,5405,UkmugEtfCqGux
850383014340,8976,HzNtKrEcti
60383267158,7577,lrcXdZgFiqZrbde
269111859568,3804,DbpZsEucAerx
18605517681,7440,PakPpHulEsDrBz
134979854864,7694,aggPzCyrZkrIoSd
254770813795,3293,UzLirPcxNvQsRzg
853744799871,6619,JaQjOyoJugiGtNz
5855295294,323,EvMwDaKovqHu
877224191543,727,KtWsJnNuyusHhBaAf
97066947133,263,suWqMfLdljGwuosf
209818861616,5029,HtXeysOlhxBhGo
389735058785,6130,giGkSpKbprlhOrmBc
756361454470,1581,ttEqySoHq
362046897724,1563,tKgJkAnVnds
607542917203,4441,DyPwEnVadIuucCpTg
425147424885,3540,nccswKs
79945183826,6580,OzSlxZiNg
146431066799,5935,axBnZgmzzMr
210283849078,308,GbhtuQoobKgoj
277822863094,6827,bgOiFoNescGsOf
741058918061,7345,rBxMkNpPenzOvUuKzMvXh
707736327764,5184,AxEsFgsNfbrGo
686777848296,3681,NhQadQhSndwFowIxz
824439263682,8330,cDgfbkgOuHsnaSea
91613706233,5621,PyUvzGdoYxNiChLk
845335492064,3444,TgJmRwjXh
198329291762,1246,Yeisj
260672863871,1810,UjypYxeJpgRkSj
869739203468,7566,MngDntwYtoDzSnt
348924983393,7054,AgHbodFtqJsHiAjrj
510535207074,5012,nUuhQgqSby
244558744684,2129,gfIfJxf
793875554469,2792,eRgZybLeaUyrv
642053327354,4104,xlEdd
528324651690,2677,lTtQtgdYx
643523081404,8779,smQieFk
147365538318,3860,DicvGqQzYjymPl
182839753599,8030,GvfYzXcymp
45272291034,6026,DmGrMbKxppFn
689295615407,1052,ovyPbggQjyUjyg
728870038435,3901,JtjxHzSp
6065841489,5269,xkcEl
116240651642,4466,DkMjCaOc
626411777059,8766,MhiaDtNi
779281137090,4173,klOfRii
281791261611,3390,GzAmvbyr
328554752906,7155,bLjbLvGaRtUt
15315771362,3060,uuBgiCbxLhcaRhFm
897433117715,3831,uDbjhLrNl
271685941420,9666,WfMpcJfoh
771453196718,4025,ztPxKndsiKwlMaq
923518329501,366,yLcjUexsVutdOy
110587203338,7604,SdkiOxHxWp
828385199495,6778,aoovbPu
40045221508,6164,KgpArAn
564136958593,1414,Mezchh
68754733307,1414,cjeDzp
990315315146,6906,CgzZhojTgpRj
490724309384,9941,YimLmVfFum
4747575863,632,JnhxNzTtwe
358459529853,9532,IxTlDjVvVtPic
100636232155,6799,bLyMjpqcwbCnVsFga
23823359522,2522,VxDiXsAxvfXmPvwLi
434573262938,3824,gFwGbVdVy
57119252371,6052,hIbNloLmMc
54668834024,2923,muOuu
162687899230,8178,xiCaOraNpQvf
652628415092,6562,jyXnEiZfZeDvDjDz
987246738007,5520,HwvMxzssyz
226182784576,2260,ZxcpcTvl
989838989685,8635,ciAxTsPy
961691755761,8464,BvRnZgMaXv
346312388777,4150,WhzXqdVsb
218141419421,5162,NyZakpf
234357257899,2664,NgblZyzVyFumTiy
578630622840,440,VtTagTyxsWfBnWsSfgj
983196548871,5283,wYnwDiPuTw
709144418485,8443,HneozNb
784230474081,1538,eLvQeRchTcoci
66813958550,7013,xHdpFzJbJe
524194401580,5353,AnSzpFeZqZaenagmMx
610577277681,5492,twLbBazjo
29763497035,7992,LtxBdAjrHeKkjYwwu
149316691309,5121,AncfbYkJtcIaOhPgTib
601569832446,3354,UauQdKqWzyTcVoYhGu
727763142252,3406,NrOrCwsmhvNq
928744079053,8118,lkAhat
366682255388,5546,cgswMv
449565817603,1692,xYhftLzOtBou
765680363263,6535,rGpaolmqYl
959017289714,3111,gfpPj
279133251264,3044,oImFgpTsMqfwYz
461387206980,7629,nNpWuiNgEegcYlTrpl
75648862348,1879,VnWyPcs
746626079837,6746,pBqyhrWfmb
57424667355,717,xZovhp
336867155957,6317,tIxxIdvyZdibpkCz
21380911913,875,kCzwYozznGym
798247725508,4587,PsQqHobVviXb
361389245602,7418,iUoUhvBvDqprBzNp
111597272996,3694,mRwTzxApDyZy
129381085902,3311,UwwuEfenngzXauMp
870655094218,3696,pUhlKaMyNijvVz
126766511421,917,EndaitEfmIgIns
18377387121,5828,DzFsGsFbsNtKmEp
491878489842,1753,qunByJrkhokgNhTp
843250512876,9220,zrIoZd
1606474026,6381,vuVyjOwhLg
284022161421,5845,CpHerh
31239011978,3056,fmzOfTsQkzPlSn
730628884190,1915,IbtMrVseRbMxves
242790244738,1845,jHnmFggElPccgDlu
18272481189,8506,ZxPzTxmhiv
533613602771,2411,KpanzvjqKoIgnDsXw
285742673495,746,LtYhdekp
370313729263,8569,nLfYeYjYm
493318428577,1642,zOuvZxTlVfs
17782262234,3946,GoFchKzBohdUgbrWuo
5085196810,3357,eJzZfHiscfYz
296669812797,8751,XhUqcZuxsRaoBlElhFf
803022716841,6462,oWjzKyHniDqRsAi
151346562233,4291,JfQrVnvtOgDjQlMw
94504957927,6710,VyFcnsoWxppgEngl
386599301008,9916,FtTdaLrwtPwPu
555193692503,7606,InxWpxBgNpt
37322955548,8959,DvGmRekrlEeu
758015105746,9659,xlqDzKuVzIeSkz
63883925838,2130,GibQvuhc
5942236547,9808,AlyXsgSmmqzrBiBlZu
113210938963,413,XlPfGjuUpNc
97201507523,2453,olqh
34481653102,729,bGigjAuKtQe
68221886139,3048,XwIpXoeAjZyi
24546227802,2858,GqValQeNssIaoDfEc
987176631390,1593,MmqDivgGlLd
697388291272,3950,bpqwtVaLpKo
40379682658,1760,DwpjlQgPdbd
793118901239,1650,SanLhLdPuo
239770412740,8829,YnzQhyOceMurfTyOcSt
714058539055,6299,OklFzvzTkiTrQbIt
965824782908,7726,wgmoq
90530825147,3127,VvaGkYw
579851499530,8423,MvPkPsUyUeaUqd
554874393907,9790,RjOdoHwhu
170773204182,3175,XhllfCnhDrcDvaXe
380613753692,2865,zqCuNoe
142729847704,2140,SkKdKiCrrx
45033504651,9282,ThLkpoyRfdSiOxp
709896871483,4591,gFjwnZbOvKg
835553333529,4198,ksTlHj
19151362420,4995,jjwpOqZm
38158748170,3038,MnguaQfIfkChzg
427623594453,8857,aUrZtIuRqdRwhoFeScHy
543112399375,9953,YtQybTqJjYuXjPmpUwhBy
147073646720,5890,rrTvlAgn
660172396576,9309,lBxZtxns
107958114032,6069,ieEsoTmCqojJiHkaKv
446218745683,141,iPrfXdGc
82067358114,6123,XxHeWlEwzKs
8388155988,2206,QuHuzrNn
488076498870,273,nLidVtEhmbvtCk
17855047160,3047,RhSuUrdffaTzrNzu
961742449796,8916,avRzJpxNv
775290058304,9239,wgZpBzRxRjvFwgs
43405281318,444,mYdalwLg
981428011459,2503,baSaZy
50333390795,2733,pGkoAvMieo
698362286669,2635,SlvwrWyAlee
713739367526,6112,qBqTsUrQsgYwyrCtl
2685489764,1859,IfdicRoYk
184528905644,7718,mOoPbSmMzAyaKge
900470319680,6921,beVugrnr
234212816988,7551,FvMpWxRyhSuJswBnb
927798471095,4530,RgwEosEbzXlt
292442544764,232,loRyUgp
70544833508,3233,MaFuAmEnmiGypKd
163246245608,6958,cFzYwetxXaSt
184662113411,2257,ejPwPsAk
293619963254,4552,mOueQziiveLcJgUkUn
5882842377,6984,AzggteYvCubOygBtIx
819955369172,1559,CghQeaHn
858413572578,2997,UgxBdi
739735801891,1657,jucRalw
956828011324,5333,HotDabscOtzrslq
458582775742,2594,SmFzNnqurZaMwuySo
3016961746,19,orjFkXues
38825504165,2546,mKdaovwexFl
390437574456,316,hgbvIm
786118134038,2272,xZrMgDeYxdUuae
41779215106,2039,DbpzSqBlaLkKydZncYh
138334064869,224,XlfftfPfClEwPdPnth
896574979566,563,pkqtixJpSqam
338654268292,8019,CpEkAozu
64986039224,7873,WcYewNuOi
6247029526,3135,OeuecuZkKziQdyg
97477156928,3815,fzQdAuvQaFntiOin
600218427900,1932,zuzWaOcRr
75826401337,1308,telKsVcYmMwfnpl
239372292089,2491,mKavaim
389758175891,1044,cvbu
4538961196,4640,NvwCcq
694055888610,1106,escGf
902678353419,8254,WvwoLrnRt
53195734965,3972,VclkIzpMaOfSiuqjLj
49318572805,6356,LwUyvs
208643706815,7344,kUmLtHn
762150599084,3211,wDuJnlQkAr
322071382380,2521,cYtmfyol
630236002385,7151,TktVoMzBvg
39439796865,7017,FuQlPkvWgdkgCbSc
627129925722,3172,Fhwbk
448079216048,4865,ymQzirGwAfhtDa
14434099676,8460,phIaqb
28899608172,762,hJptoBmEx
761291384062,3154,bqhZosasSix
930193381771,9611,amEePiQoItnjBsXoSu
37192327886,9477,grdaZhViGvDbi
94739503905,2304,OmQpNbxAfTetbz
571878531389,3525,yaQsucFcVct
187725155520,4286,zdvUtWgqlgHc
454436092176,5585,Uzolvngi
61516087216,7364,ToCnbXskWycnof
187144154770,9100,vJfNmHh
600071152489,2946,hnwgEu
99465815822,9633,ZxNkmWsArfuvf
545677358609,7577,jWkhpNeNnoLfTno
