userId,cartId
6334846741,572491696500
696293581478,814557054464
996168273281,19422995491
239154364827,15339024604
74212382292,989597188716
477117265447,991218691538
703562995667,381187039894
76733331322,771151414664
554768688253,275726627644
8723285937,77875299741
219030352316,1062881842
926489429040,380574462648
437067295890,110150065350
962935484393,995440842623
496618408756,630839317376
462624396944,153855371323
292920826118,111548336541
270496584639,230639779930
502123861673,907269248745
677758296270,651250975573
916132903986,476723558636
403155743655,115073502052
396617246941,19111073430
545713378007,38377532287
220989094945,858842219758
750649466422,916864133030
87622591900,635974101655
15485377624,404175956483
29143503602,10209374836
734840214596,448496683199
5347348281,793864181999
812737886900,48933728467
780724834648,661743102421
430995142813,745189357616
65195249600,30327981556
584410086224,270249892609
30934853195,15875234343
744895039314,661834585200
47989796580,79895895281
47271578009,229285383622
819041796038,619179589657
915628889815,263462021511
328554272,488663622646
986984338875,14163844142
32219981881,5699218651
789284763557,71250754389
100325102600,468878616869
525597893401,58550026423
70882854182,375786171426
41699329832,718957212154
236813299976,55514258692
744165493434,80601459512
613937531718,599662792423
254925296687,294998667437
32973195193,61058286416
245562824488,170181145734
57866711316,435543132263
912531185,9451832808
832177564313,798236469558
31964144481,21617129222
11734505535,16592044466
725364396292,9510615424
31866494745,802244748313
878740182168,739179589905
64773625202,582493144414
437258749334,80701833159
751882977487,227077738177
719226681763,848031023985
480276279213,26255274099
102319241543,418130619972
750574321003,303127257593
72221428492,790030641286
241383609187,91704270974
9711833235,466788965760
14025507285,162426953694
657621258019,630226581694
467824667371,548438512593
111984641018,808728003152
901019261060,31521704757
20432279576,510971642758
